id;suspicious_status;suspicious_note;question;extra
249;0;;Everyone but [him:t.Personal,s3m,f.Colloquial] was chosen for the project.;Все, кроме него, были выбраны для проекта.
250;0;;Nothing but [he:t.Personal,s3m,f.Formal] could explain the situation.;Ничто, кроме него, не могло объяснить ситуацию.
251;0;;Nothing but [him:t.Personal,s3m,f.Colloquial] could explain the situation.;Ничто, кроме него, не могло объяснить ситуацию.
252;0;;Nobody except [he:t.Personal,s3m,f.Formal] knew the correct answer.;Никто, кроме него, не знал правильного ответа.
253;0;;Nobody except [him:t.Personal,s3m,f.Colloquial] knew the correct answer.;Никто, кроме него, не знал правильного ответа.
254;0;;You are stronger than [he:t.Personal,s3m,f.Formal].;Ты сильнее, чем он.
255;0;;You are stronger than [him:t.Personal,s3m,f.Colloquial].;Ты сильнее, чем он.
256;0;;You are as skilled as [he:t.Personal,s3m,f.Formal] is.;Ты так же умел, как и он.
257;0;;You are as skilled as [him:t.Personal,s3m,f.Colloquial] is.;Ты так же умел, как и он.
258;0;;No one but [she:t.Personal,s3f,f.Formal] dared to go inside.;Никто, кроме неё, не осмелился войти внутрь.
259;0;;No one but [her:t.Personal,s3f,f.Colloquial] dared to go inside.;Никто, кроме неё, не осмелился войти внутрь.
260;0;;Everyone but [she:t.Personal,s3f,f.Formal] was afraid of speaking.;Все, кроме неё, боялись говорить.
261;0;;Everyone but [her:t.Personal,s3f,f.Colloquial] was afraid of speaking.;Все, кроме неё, боялись говорить.
262;0;;Nothing but [she:t.Personal,s3f,f.Formal] kept the team motivated.;Ничто, кроме неё, не поддерживало команду в тонусе.
263;0;;Nothing but [her:t.Personal,s3f,f.Colloquial] kept the team motivated.;Ничто, кроме неё, не поддерживало команду в тонусе.
264;0;;Everyone except [she:t.Personal,s3f,f.Formal] left the building.;Все, кроме неё, покинули здание.
265;0;;Everyone except [her:t.Personal,s3f,f.Colloquial] left the building.;Все, кроме неё, покинули здание.
266;0;;This problem is harder than [she:t.Personal,s3f,f.Formal] expected.;Эта проблема сложнее, чем она ожидала.
267;0;;This problem is harder than [her:t.Personal,s3f,f.Colloquial] expected.;Эта проблема сложнее, чем она ожидала.
268;0;;They are as responsible as [she:t.Personal,s3f,f.Formal] is.;Они такие же ответственные, как и она.
269;0;;They are as responsible as [her:t.Personal,s3f,f.Colloquial] is.;Они такие же ответственные, как и она.
270;0;;Nothing except [it:t.Personal,s3n,f.Formal] could explain the strange phenomenon.;Ничто, кроме этого, не могло объяснить странное явление.
271;0;;Nothing except [it:t.Personal,s3n,f.Colloquial] could explain the strange phenomenon.;Ничто, кроме этого, не могло объяснить странное явление.
272;0;;This device is more efficient than [it:t.Personal,s3n,f.Formal] appears.;Этот прибор работает эффективнее, чем кажется.
273;0;;This device is more efficient than [it:t.Personal,s3n,f.Colloquial] appears.;Этот прибор работает эффективнее, чем кажется.
274;0;;The result was as unexpected as [it:t.Personal,s3n,f.Formal] was exciting.;Результат был таким же неожиданным, как и захватывающим.
275;0;;The result was as unexpected as [it:t.Personal,s3n,f.Colloquial] was exciting.;Результат был таким же неожиданным, как и захватывающим.
276;0;;Nothing except [it:t.Personal,s3n,f.Formal] could explain the strange phenomenon.;Ничто, кроме этого, не могло объяснить странное явление.
277;0;;Nothing except [it:t.Personal,s3n,f.Colloquial] could explain the strange phenomenon.;Ничто, кроме этого, не могло объяснить странное явление.
278;0;;This device is more efficient than [it:t.Personal,s3n,f.Formal] appears.;Этот прибор работает эффективнее, чем кажется.
279;0;;This device is more efficient than [it:t.Personal,s3n,f.Colloquial] appears.;Этот прибор работает эффективнее, чем кажется.
280;0;;The result was as unexpected as [it:t.Personal,s3n,f.Formal] was exciting.;Результат был таким же неожиданным, как и захватывающим.
281;0;;The result was as unexpected as [it:t.Personal,s3n,f.Colloquial] was exciting.;Результат был таким же неожиданным, как и захватывающим.
282;0;;No one but [we:t.Personal,p1,f.Formal] believed in the idea.;Никто, кроме нас, не верил в эту идею.
283;0;;No one but [us:t.Personal,p1,f.Colloquial] believed in the idea.;Никто, кроме нас, не верил в эту идею.
284;0;;All but [we:t.Personal,p1,f.Formal] thought it was impossible.;Все, кроме нас, думали, что это невозможно.
285;0;;All but [us:t.Personal,p1,f.Colloquial] thought it was impossible.;Все, кроме нас, думали, что это невозможно.
286;0;;Nothing but [we:t.Personal,p1,f.Formal] could make this work.;Ничто, кроме нас, не могло это осуществить.
287;0;;Nothing but [us:t.Personal,p1,f.Colloquial] could make this work.;Ничто, кроме нас, не могло это осуществить.
288;0;;All except [we:t.Personal,p1,f.Formal] were confused by the instructions.;Все, кроме нас, были сбиты с толку инструкциями.
289;0;;All except [us:t.Personal,p1,f.Colloquial] were confused by the instructions.;Все, кроме нас, были сбиты с толку инструкциями.
290;0;;They work harder than [we:t.Personal,p1,f.Formal].;Они работают усерднее, чем мы.
291;0;;They work harder than [us:t.Personal,p1,f.Colloquial].;Они работают усерднее, чем мы.
292;0;;Our team is as efficient as [we:t.Personal,p1,f.Formal] expected.;Наша команда работает так же эффективно, как мы и ожидали.
293;0;;Our team is as efficient as [us:t.Personal,p1,f.Colloquial] expected.;Наша команда работает так же эффективно, как мы и ожидали.
294;0;;No one but [they:t.Personal,p3,f.Formal] completed the challenge.;Никто, кроме них, не справился с испытанием.
295;0;;No one but [them:t.Personal,p3,f.Colloquial] completed the challenge.;Никто, кроме них, не справился с испытанием.
296;0;;Everyone but [they:t.Personal,p3,f.Formal] was exhausted after the hike.;Все, кроме них, были измотаны после похода.
297;0;;Everyone but [them:t.Personal,p3,f.Colloquial] was exhausted after the hike.;Все, кроме них, были измотаны после похода.
298;0;;Nothing but [they:t.Personal,p3,f.Formal] prevented the disaster.;Ничто, кроме них, не предотвратило катастрофу.
299;0;;Nothing but [them:t.Personal,p3,f.Colloquial] prevented the disaster.;Ничто, кроме них, не предотвратило катастрофу.
300;0;;Nobody except [they:t.Personal,p3,f.Formal] volunteered to help.;Никто, кроме них, не вызвался помочь.
301;0;;Nobody except [them:t.Personal,p3,f.Colloquial] volunteered to help.;Никто, кроме них, не вызвался помочь.
302;0;;We arrived earlier than [they:t.Personal,p3,f.Formal].;Мы прибыли раньше, чем они.
303;0;;We arrived earlier than [them:t.Personal,p3,f.Colloquial].;Мы прибыли раньше, чем они.
304;0;;Their results were as impressive as [they:t.Personal,p3,f.Formal] claimed.;Их результаты были столь же впечатляющими, как они утверждали.
305;0;;Their results were as impressive as [them:t.Personal,p3,f.Colloquial] claimed.;Их результаты были столь же впечатляющими, как они утверждали.
306;0;;[He:t.Personal](John) is reading a book.; Он читает книгу.
307;0;;[It:t.Personal](The cat) is sleeping on the couch.; Он/Она спит на диване.
308;0;;[We:t.Personal](My friends and I) are going to the park.; Мы идём в парк.
309;0;;[They:t.Personal](Sarah and Tom) love pizza.; Они любят пиццу.
310;0;;[It:t.Personal](This car) is very fast.; Она очень быстрая.
311;0;;[We:t.Personal](Mike and I) work together.; Мы работаем вместе.
312;0;;[He:t.Personal](Your brother) likes football.; Он любит футбол.
313;0;;[They:t.Personal](The flowers) are blooming.; Они цветут.
314;0;;[It:t.Personal](The book) is on the table.; Она на столе.
315;0;;[They:t.Personal](The doctor) is reading a book.; Он/Она читает книгу.
316;0;;[They:t.Personal](The student) loves pizza.; Он/Она любит пиццу.
317;0;;[They:t.Personal](The manager) works remotely.; Он/Она работает удалённо.
318;0;;Someone called the student, but [they:t.Personal] didn’t answer.; Кто-то позвонил студенту, но он/она не ответил/а.
319;0;;The manager said [they:t.Personal] would be available later.; Менеджер сказал/а, что будет доступен/доступна позже.
320;0;;If you see the neighbor, let [they:t.Personal] know about the meeting.; Если увидишь соседа, сообщи ему/ей о встрече.
321;0;;The artist forgot their sketchbook, so [they:t.Personal] went back to get it.; Художник забыл/а свой альбом, поэтому он/она вернулся/вернулась, чтобы забрать его.
322;0;;The doctor assured the patient that [they:t.Personal] would recover soon.; Врач заверил/а пациента, что он/она скоро поправится.
323;0;;Someone left their bag here. I hope [they:t.Personal] come back for it.; Кто-то оставил здесь свою сумку. Надеюсь, он/она вернется за ней.
324;0;;The teacher asked the student if [they:t.Personal] had finished the assignment.; Учитель спросил/а студента, закончил/а ли он/она задание.
325;0;;If your friend arrives, tell [they:t.Personal] to wait for me.; Если твой друг придет, скажи ему/ей, чтобы подождал/а меня.
326;0;;The director called, but [they:t.Personal] didn’t leave a message.; Директор звонил/а, но не оставил/а сообщение.
327;0;;A customer came in asking for you, but I told [they:t.Personal] you were out.; Клиент заходил и спрашивал тебя, но я сказал/а ему/ей, что тебя нет.
328;0;;He saw [me:t.Personal,s1].;Он видел меня.
329;0;;They invited [me:t.Personal,s1] to the party.;Они пригласили меня на вечеринку.
330;0;;She found [me:t.Personal,s1] in the garden.;Она нашла меня в саду.
331;0;;The teacher praised [me:t.Personal,s1].;Учитель похвалил меня.
332;0;;They accused [me:t.Personal,s1] of cheating.;Они обвинили меня в обмане.
333;0;;She gave [me:t.Personal,s1] a gift.;Она дала мне подарок.
334;0;;They sent [me:t.Personal,s1] a letter.;Они отправили мне письмо.
335;0;;Can you pass [me:t.Personal,s1] the salt?;Можешь передать мне соль?
336;0;;The book belongs to [me:t.Personal,s1].;Эта книга принадлежит мне.
337;0;;Tell [me:t.Personal,s1] the truth.;Скажи мне правду.
338;0;;Please help [me:t.Personal,s1].;Пожалуйста, помоги мне.
339;0;;They saw [me:t.Personal,s1] yesterday.;Они видели меня вчера.
340;0;;He invited [me:t.Personal,s1] to dinner.;Он пригласил меня на ужин.
341;0;;She called [me:t.Personal,s1] last night.;Она звонила мне вчера вечером.
342;0;;The dog followed [me:t.Personal,s1] home.;Собака пошла за мной домой.
343;0;;She is happy with [me:t.Personal,s1].;Она счастлива со мной.
344;0;;They worked with [me:t.Personal,s1] on the project.;Они работали со мной над проектом.
345;0;;The teacher was impressed by [me:t.Personal,s1].;Учитель был впечатлён мной.
346;0;;He argued with [me:t.Personal,s1] about politics.;Он спорил со мной о политике.
347;0;;They danced with [me:t.Personal,s1] at the party.;Они танцевали со мной на вечеринке.
348;0;;She always talks about [me:t.Personal,s1].;Она всегда говорит обо мне.
349;0;;What do you think about [me:t.Personal,s1]?;Что ты думаешь обо мне?
350;0;;They wrote a story about [me:t.Personal,s1].;Они написали историю обо мне.
351;0;;The article is about [me:t.Personal,s1].;Эта статья обо мне.
352;0;;Don’t worry about [me:t.Personal,s1].;Не переживай обо мне.
353;0;;I saw [you:t.Personal,s2].;Я видел тебя вчера.
354;0;;They invited [you:t.Personal,p2] to the meeting.;Они пригласили вас на встречу.
355;0;;She remembered [you:t.Personal,s2] from school.;Она вспомнила тебя из школы.
356;0;;They accused [you:t.Personal,s2] of lying.;Они обвинили тебя во лжи.
357;0;;I need to talk to [you:t.Personal,s2].;Мне нужно поговорить с тобой.
358;0;;She gave [you:t.Personal,s2] a gift.;Она дала тебе подарок.
359;0;;They sent [you:t.Personal,p2] a letter.;Они отправили вам письмо.
360;0;;Can I show [you:t.Personal,s2] something?;Могу показать тебе что-то?
361;0;;The book belongs to [you:t.Personal,p2].;Эта книга принадлежит вам.
362;0;;Tell [you:t.Personal,s2] the truth.;Скажи тебе правду.
363;0;;Please help [you:t.Personal,s2] with the project.;Пожалуйста, помоги тебе с проектом.
364;0;;They saw [you:t.Personal,p2] at the party.;Они видели вас на вечеринке.
365;0;;She called [you:t.Personal,s2] last night.;Она звонила тебе вчера вечером.
366;0;;He invited [you:t.Personal,s2] to dinner.;Он пригласил тебя на ужин.
367;0;;I trust [you:t.Personal,s2].;Я доверяю тебе.
368;0;;They worked with [you:t.Personal,s2] on the project.;Они работали с тобой над проектом.
369;0;;She danced with [you:t.Personal,p2] at the party.;Она танцевала с вами на вечеринке.
370;0;;The teacher was impressed by [you:t.Personal,s2].;Учитель был впечатлён тобой.
371;0;;He argued with [you:t.Personal,s2] about politics.;Он спорил с тобой о политике.
372;0;;They traveled with [you:t.Personal,s2] last summer.;Они путешествовали с тобой прошлым летом.
373;0;;They talked about [you:t.Personal,s2] yesterday.;Они говорили о тебе вчера.
374;0;;The story is about [you:t.Personal,s2].;История о тебе.
375;0;;She always thinks about [you:t.Personal,s2].;Она всегда думает о тебе.
376;0;;Don’t worry about [you:t.Personal,s2].;Не переживай о тебе.
377;0;;I saw [him:t.Personal,s3m].;Я видел его в парке.
378;0;;They accused [him:t.Personal,s3m] of lying.;Они обвинили его во лжи.
379;0;;She found [him:t.Personal,s3m] sleeping.;Она нашла его спящим.
380;0;;The teacher praised [him:t.Personal,s3m] for his work.;Учитель похвалил его за работу.
381;0;;I met [him:t.Personal,s3m] yesterday.;Я встретил его вчера.
382;0;;She gave [him:t.Personal,s3m] a gift.;Она дала ему подарок.
383;0;;They sent [him:t.Personal,s3m] a letter.;Они отправили ему письмо.
384;0;;Can you show [him:t.Personal,s3m] the way?;Можешь показать ему дорогу?
385;0;;The dog belongs to [him:t.Personal,s3m].;Собака принадлежит ему.
386;0;;Tell [him:t.Personal,s3m] the truth.;Скажи ему правду.
387;0;;They invited [him:t.Personal,s3m] to the meeting.;Они пригласили его на встречу.
388;0;;She called [him:t.Personal,s3m] yesterday.;Она звонила ему вчера.
389;0;;The dog followed [him:t.Personal,s3m] home.;Собака пошла за ним домой.
390;0;;Please help [him:t.Personal,s3m] with his project.;Пожалуйста, помогите ему с его проектом.
391;0;;I don't trust [him:t.Personal,s3m].;Я не доверяю ему.
392;0;;They worked with [him:t.Personal,s3m] on the project.;Они работали с ним над проектом.
393;0;;She danced with [him:t.Personal,s3m] at the party.;Она танцевала с ним на вечеринке.
394;0;;The teacher was impressed by [him:t.Personal,s3m].;Учитель был впечатлён им.
395;0;;He argued with [him:t.Personal,s3m] about politics.;Он спорил с ним о политике.
396;0;;They traveled with [him:t.Personal,s3m] last summer.;Они путешествовали с ним прошлым летом.
397;0;;They talked about [him:t.Personal,s3m] yesterday.;Они говорили о нём вчера.
398;0;;The story is about [him:t.Personal,s3m].;История о нём.
399;0;;She always thinks about [him:t.Personal,s3m].;Она всегда думает о нём.
400;0;;Don’t worry about [him:t.Personal,s3m].;Не переживай о нём.
401;0;;What do you know about [him:t.Personal,s3m]?;Что ты знаешь о нём?
402;0;;I saw [her:t.Personal,s3f] at the store.;Я видел её в магазине.
403;0;;They accused [her:t.Personal,s3f] of cheating.;Они обвинили её в обмане.
404;0;;She praised the girl for [her:t.Personal,s3f] efforts.;Она похвалила её за её усилия.
405;0;;I met [her:t.Personal,s3f] last night.;Я встретил её вчера вечером.
406;0;;He followed [her:t.Personal,s3f] to the park.;Он следовал за ней в парк.
407;0;;They gave [her:t.Personal,s3f] a gift.;Они дали ей подарок.
408;0;;Can you pass [her:t.Personal,s3f] the salt?;Можешь передать ей соль?
409;0;;The book belongs to [her:t.Personal,s3f].;Эта книга принадлежит ей.
410;0;;He showed [her:t.Personal,s3f] the way.;Он показал ей дорогу.
411;0;;Tell [her:t.Personal,s3f] the truth.;Скажи ей правду.
412;0;;I love [her:t.Personal,s3f].;Я люблю её.
413;0;;He called [her:t.Personal,s3f] last night.;Он звонил ей вчера вечером.
414;0;;Please help [her:t.Personal,s3f] with her homework.;Пожалуйста, помоги ей с домашним заданием.
415;0;;I don’t trust [her:t.Personal,s3f].;Я не доверяю ей.
416;0;;They saw [her:t.Personal,s3f] at the mall.;Они видели её в торговом центре.
417;0;;They worked with [her:t.Personal,s3f] on the project.;Они работали с ней над проектом.
418;0;;She danced with [her:t.Personal,s3f] at the party.;Она танцевала с ней на вечеринке.
419;0;;The teacher was impressed by [her:t.Personal,s3f].;Учитель был впечатлён ею.
420;0;;He argued with [her:t.Personal,s3f] about the topic.;Он спорил с ней о теме.
421;0;;They traveled with [her:t.Personal,s3f] last summer.;Они путешествовали с ней прошлым летом.
422;0;;They talked about [her:t.Personal,s3f] yesterday.;Они говорили о ней вчера.
423;0;;The story is about [her:t.Personal,s3f].;История о ней.
424;0;;She always thinks about [her:t.Personal,s3f].;Она всегда думает о ней.
425;0;;Don’t worry about [her:t.Personal,s3f].;Не переживай о ней.
426;0;;What do you know about [her:t.Personal,s3f]?;Что ты знаешь о ней?
427;0;;She saw [it:t.Personal,s3n] on the table.;Она увидела его на столе.
428;0;;I took [it:t.Personal,s3n] from the box.;Я взял его из коробки.
429;0;;They repaired [it:t.Personal,s3n] yesterday.;Они починили его вчера.
430;0;;The teacher noticed [it:t.Personal,s3n] immediately.;Учитель заметил его сразу.
431;0;;I remember [it:t.Personal,s3n] very well.;Я очень хорошо помню его.
432;0;;She gave [it:t.Personal,s3n] a name.;Она дала ему имя.
433;0;;They sent [it:t.Personal,s3n] to the laboratory.;Они отправили его в лабораторию.
434;0;;He showed [it:t.Personal,s3n] to his friend.;Он показал его своему другу.
435;0;;I offered [it:t.Personal,s3n] to the team.;Я предложил его команде.
436;0;;They assigned [it:t.Personal,s3n] a task.;Они назначили ему задачу.
437;0;;I found [it:t.Personal,s3n] under the bed.;Я нашёл его под кроватью.
438;0;;She moved [it:t.Personal,s3n] to another room.;Она передвинула его в другую комнату.
439;0;;They lost [it:t.Personal,s3n] during the trip.;Они потеряли его во время поездки.
440;0;;Please fix [it:t.Personal,s3n] as soon as possible.;Пожалуйста, почини его как можно скорее.
441;0;;He bought [it:t.Personal,s3n] yesterday.;Он купил его вчера.
442;0;;They worked with [it:t.Personal,s3n] all night.;Они работали с ним всю ночь.
443;0;;She cleaned the floor with [it:t.Personal,s3n].;Она убрала пол с его помощью.
444;0;;He impressed everyone with [it:t.Personal,s3n].;Он впечатлил всех с его помощью.
445;0;;They solved the problem with [it:t.Personal,s3n].;Они решили проблему с его помощью.
446;0;;I decorated the room with [it:t.Personal,s3n].;Я украсил комнату с его помощью.
447;0;;They talked about [it:t.Personal,s3n] yesterday.;Они говорили о нём вчера.
448;0;;What do you know about [it:t.Personal,s3n]?;Что ты знаешь о нём?
449;0;;Don’t worry about [it:t.Personal,s3n].;Не переживай о нём.
450;0;;The story is about [it:t.Personal,s3n].;История о нём.
451;0;;She always thinks about [it:t.Personal,s3n].;Она всегда думает о нём.
452;0;;They saw [us:t.Personal,p1] at the party.;Они видели нас на вечеринке.
453;0;;She invited [us:t.Personal,p1] to her house.;Она пригласила нас к себе домой.
454;0;;The teacher praised [us:t.Personal,p1] for our work.;Учитель похвалил нас за нашу работу.
455;0;;He remembered [us:t.Personal,p1] from school.;Он вспомнил нас из школы.
456;0;;They accused [us:t.Personal,p1] of cheating.;Они обвинили нас в обмане.
457;0;;She gave [us:t.Personal,p1] a gift.;Она дала нам подарок.
458;0;;They sent [us:t.Personal,p1] a letter.;Они отправили нам письмо.
459;0;;Can you show [us:t.Personal,p1] the way?;Можешь показать нам дорогу?
460;0;;The book belongs to [us:t.Personal,p1].;Эта книга принадлежит нам.
461;0;;Tell [us:t.Personal,p1] the truth.;Скажи нам правду.
462;0;;They invited [us:t.Personal,p1] to the party.;Они пригласили нас на вечеринку.
463;0;;Please help [us:t.Personal,p1] with the project.;Пожалуйста, помогите нам с проектом.
464;0;;I saw [us:t.Personal,p1] in the mirror.;Я видел нас в зеркале.
465;0;;She called [us:t.Personal,p1] yesterday.;Она звонила нам вчера.
466;0;;The dog followed [us:t.Personal,p1] home.;Собака пошла за нами домой.
467;0;;They worked with [us:t.Personal,p1] on the project.;Они работали с нами над проектом.
468;0;;She danced with [us:t.Personal,p1] at the party.;Она танцевала с нами на вечеринке.
469;0;;The teacher was impressed by [us:t.Personal,p1].;Учитель был впечатлён нами.
470;0;;He argued with [us:t.Personal,p1] about politics.;Он спорил с нами о политике.
471;0;;They traveled with [us:t.Personal,p1] last summer.;Они путешествовали с нами прошлым летом.
472;0;;They talked about [us:t.Personal,p1] yesterday.;Они говорили о нас вчера.
473;0;;The story is about [us:t.Personal,p1].;История о нас.
474;0;;She always thinks about [us:t.Personal,p1].;Она всегда думает о нас.
475;0;;Don’t worry about [us:t.Personal,p1].;Не переживай о нас.
476;0;;What do you know about [us:t.Personal,p1]?;Что ты знаешь о нас?
477;0;;I saw [them:t.Personal,p3] at the park.;Я видел их в парке.
478;0;;They invited [them:t.Personal,p3] to the meeting.;Они пригласили их на встречу.
479;0;;She remembered [them:t.Personal,p3] from school.;Она вспомнила их из школы.
480;0;;We need to talk to [them:t.Personal,p3].;Нам нужно поговорить с ними.
481;0;;They accused [them:t.Personal,p3] of lying.;Они обвинили их во лжи.
482;0;;She gave [them:t.Personal,p3] a gift.;Она дала им подарок.
483;0;;They sent [them:t.Personal,p3] a letter.;Они отправили им письмо.
484;0;;Can I show [them:t.Personal,p3] something?;Могу показать им что-то?
485;0;;The book belongs to [them:t.Personal,p3].;Эта книга принадлежит им.
486;0;;Tell [them:t.Personal,p3] the truth.;Скажи им правду.
487;0;;I trust [them:t.Personal,p3].;Я доверяю им.
488;0;;Please help [them:t.Personal,p3] with the project.;Пожалуйста, помогите им с проектом.
489;0;;They saw [them:t.Personal,p3] at the party.;Они видели их на вечеринке.
490;0;;She called [them:t.Personal,p3] yesterday.;Она звонила им вчера.
491;0;;He invited [them:t.Personal,p3] to dinner.;Он пригласил их на ужин.
492;0;;They worked with [them:t.Personal,p3] on the project.;Они работали с ними над проектом.
493;0;;She danced with [them:t.Personal,p3] at the party.;Она танцевала с ними на вечеринке.
494;0;;The teacher was impressed by [them:t.Personal,p3].;Учитель был впечатлён ими.
495;0;;He argued with [them:t.Personal,p3] about politics.;Он спорил с ними о политике.
496;0;;They traveled with [them:t.Personal,p3] last summer.;Они путешествовали с ними прошлым летом.
497;0;;They talked about [them:t.Personal,p3] yesterday.;Они говорили о них вчера.
498;0;;The story is about [them:t.Personal,p3].;История о них.
499;0;;She always thinks about [them:t.Personal,p3].;Она всегда думает о них.
500;0;;Don’t worry about [them:t.Personal,p3].;Не переживай о них.
501;0;;What do you know about [them:t.Personal,p3]?;Что ты знаешь о них?
502;0;;I saw a stray dog and fed [it:t.Personal].; Я увидел бездомную собаку и покормил её.
503;0;;The cat was scared, so I tried to calm [it:t.Personal] down.; Кошка испугалась, поэтому я попытался её успокоить.
504;0;;I found an injured bird and took [it:t.Personal] to a vet.; Я нашёл раненую птицу и отнёс её к ветеринару.
505;0;;The rabbit was hiding, but I managed to catch [it:t.Personal].; Кролик прятался, но мне удалось его поймать.
506;0;;I stroked the kitten and petted [it:t.Personal] gently.; Я погладил котёнка и нежно потёр его.
507;0;;A fox appeared in my backyard, but I didn’t want to disturb [it:t.Personal].; В моём дворе появилась лиса, но я не хотел её тревожить.
508;0;;The hamster loves when I give [it:t.Personal] treats.; Хомяк обожает, когда я даю ему вкусняшки.
509;0;;A bee landed on my hand, but I gently let [it:t.Personal] go.; Пчела села мне на руку, но я осторожно дал ей улететь.
510;0;;The snake was in the way, so we carefully moved [it:t.Personal] aside.; Змея была на пути, поэтому мы осторожно сдвинули её в сторону.
511;0;;I saw a squirrel and took a picture of [it:t.Personal].; Я увидел белку и сфотографировал её.
512;0;;The baby was crying, so I picked [it:t.Personal] up.; Младенец плакал, поэтому я его поднял.
513;0;;She wrapped the newborn in a blanket and held [it:t.Personal] close.; Она завернула новорождённого в одеяло и прижала его к себе.
514;0;;I gently rocked the infant to soothe [it:t.Personal].; Я осторожно покачивал младенца, чтобы его успокоить.
515;0;;The doctor examined the baby and placed [it:t.Personal] back in the crib.; Врач осмотрел младенца и положил его обратно в кроватку.
516;0;;We took a picture of the newborn before putting [it:t.Personal] to sleep.; Мы сделали фото новорождённого перед тем, как уложить его спать.
517;0;;The nurse lifted the baby and carefully bathed [it:t.Personal].; Медсестра подняла младенца и аккуратно его искупала.
518;0;;I saw the baby reaching for the toy, so I gave [it:t.Personal] one.; Я увидел, что младенец тянется к игрушке, поэтому я дал ему одну.
519;0;;They named the baby but haven’t introduced [it:t.Personal] to anyone yet.; Они дали младенцу имя, но ещё никому его не представили.
520;0;;The infant was cold, so we covered [it:t.Personal] with a soft blanket.; Младенец замёрз, поэтому мы накрыли его мягким одеялом.
521;0;;The mother kissed the newborn before handing [it:t.Personal] to the father.; Мать поцеловала новорождённого, прежде чем передать его отцу.
522;0;;They saw [you and me](you, I) at the park.;Они видели тебя и меня в парке.
523;0;;She invited [you and me](you, I) to dinner.; Она пригласила тебя и меня на ужин.
524;0;;The teacher gave homework to [you and me](you, I).; Учитель дал домашнее задание тебе и мне.
525;0;;He asked [you and me](you, I) for help.; Он попросил помощи у тебя и меня.
526;0;;They will meet [you and me](you, I) at the station.; Они встретят тебя и меня на вокзале.
527;0;;He noticed [Lisa and me](Lisa, I) talking in the hallway.; Он заметил, как Лиза и я разговаривали в коридоре.
528;0;;The professor praised [Michael and me](Michael, I) for our work.; Профессор похвалил Майкла и меня за нашу работу.
529;0;;He noticed [her and me](she, I) talking in the hallway.; Он заметил, как она и я разговаривали в коридоре.
530;0;;She introduced [him and me](he, I) to her parents.; Она представила его и меня своим родителям.
531;0;;The boss thanked [Mark and her](she, Mark) for the report.; Начальник поблагодарил её и Марка за отчёт.
532;0;;He noticed [Lisa and me](Lisa, I) talking in the hallway.; Он заметил, как Лиза и я разговаривали в коридоре.
533;0;;The professor praised [Michael and me](Michael, I) for our work.; Профессор похвалил Майкла и меня за нашу работу.
534;0;;The professor praised [him and me](he, I) for our work.; Профессор похвалил его и меня за нашу работу.
535;0;;He asked [you and Anna](you, Anna) to wait outside.; Он попросил тебя и Анну подождать снаружи.
536;0;;I invited [you and her](you, she) to the party.; Я пригласил тебя и её на вечеринку.
537;0;;I saw [you and it](you, it) in the garden.; Я увидел тебя и это в саду.
538;0;;The manager called [you and him](you, he) for a meeting.; Менеджер вызвал тебя и его на встречу.
539;0;;The teacher assigned a project to [you and him](you, he).; Учитель назначил проект тебе и ему.
540;0;;I carried [you and it](you, it) across the river.; Я перенёс тебя и это через реку.
541;0;;They moved [you and it](you, it) to another location.; Они переместили тебя и это в другое место.
542;0;;I met [Lisa and him](Lisa, he) at the cafe.; Я встретил Лизу и его в кафе.
543;0;;She introduced [the cat and it](the cat, it) to her friends.; Она представила кота и его своим друзьям.
544;0;;The company promoted [Michael and him](Michael, he) last year.; Компания повысила Майкла и его в прошлом году.
545;0;;The teacher corrected [John and her](John, she) on their mistakes.; Учитель исправил ошибки Джона и её.
546;0;;They assigned the task to [Tom and her](Tom, she).; Они поручили задание Тому и ей.
547;0;;The doctor called a patient and asked [them:t.Personal] to come in.; Врач вызвал пациента и попросил его войти.
548;0;;If someone finds my keys, please give [them:t.Personal] to the receptionist.; Если кто-то найдёт мои ключи, пожалуйста, отдайте их администратору.
549;0;;Each student must submit their assignment before Friday, or I will have to remind [them:t.Personal].; Каждый студент должен сдать задание до пятницы, иначе мне придётся напомнить ему.
550;0;;A person at the counter left without taking [them:t.Personal] their receipt.; Человек у стойки ушёл, не взяв свой чек.
551;0;;If a caller refuses to give their name, don’t push [them:t.Personal].; Если звонящий отказывается назвать своё имя, не дави на него.
552;0;;I saw a stranger looking confused, so I asked [them:t.Personal] if they needed help.; Я увидел незнакомца, который выглядел растерянным, и спросил его, нужна ли помощь.
553;0;;The delivery person dropped off a package, but I couldn’t thank [them:t.Personal] before they left.; Курьер оставил посылку, но я не успел поблагодарить его, прежде чем он ушёл.
554;0;;If anybody wants a ride home, I can take [them:t.Personal].; Если кто-то хочет, чтобы его подвезли домой, я могу отвезти.
555;0;;The applicant didn’t include their email, so I couldn’t contact [them:t.Personal].; Соискатель не указал свой email, поэтому я не смог с ним связаться.
556;0;;Somebody in the waiting room looks nervous. Maybe you should check on [them:t.Personal].; Кто-то в зале ожидания выглядит нервным. Может, тебе стоит проверить, как он там.
557;0;;I see [him:t.Personal](John).; Я вижу его.
558;0;;She likes [it:t.Personal](the cat).; Она любит его/её.
559;0;;They invited [us:t.Personal](my friends and me).; Они пригласили нас.
560;0;;We called [them:t.Personal](Sarah and Tom).; Мы позвонили им.
