valid , v1      , top       , verb                   , trans                                                                              , exmpls
0     , Hold    , 354       , Hold on                , держаться;оставаться на линии                                                      , "Hold on tight not to fall down.;Hold on                                                                                                            , I'll switch you over to Mr. Fooks."
0     , Hold    , 372       , Hold out               ,                                                                                    ,
0     , Hold    , 380       , Hold up                , задержать/затормозить                                                              , I got held up in a traffic jam. Every day the same shit.
0     , Hold    , 406       , Hold back              , сдерживать                                                                         , I couldn't hold back the tears.
0     , Hold    , 445       , Hold over              ,                                                                                    ,
0     , Hold    , 454       , Hold down              ,                                                                                    ,
0     , Hold    , 468       , Hold off               ,                                                                                    ,
0     , Hurry   , 954       , Hurry up               ,                                                                                    ,
0     , Keep    , 196       , Keep in                ,                                                                                    ,
1     , Keep    , 209       , Keep on                , продолжать                                                                         , The snowstorm started but she kept on walking.
0     , Keep    , 227       , Keep out               ,                                                                                    ,
1     , Keep    , 235       , Keep up                , поддерживать                                                                       , "Probably hasn't the faintest idea                                                                                                                  , but he's got to keep up his professional reputation."
1     , Keep    , 266       , Keep up with           , поспевать за                                                                       , Come on keep up with me.
0     , Keep    , 236       , Keep out of            , не влезать                                                                         , "No                                                                                                                                                 , man                                                                                            , I'd rather keep out of all that."
0     , Keep    , 242       , Keep at                ,                                                                                    ,
0     , Keep    , 261       , Keep back              ,                                                                                    ,
0     , Keep    , 266       , Keep from              ,                                                                                    ,
0     , Keep    , 309       , Keep down              ,                                                                                    ,
0     , Keep    , 323       , Keep off               , избегать/не трогать                                                                , Please keep off the grass.
0     , Keep    , 352       , Keep away              , держать (ся) подальше                                                              , "Just keep away from me                                                                                                                             , okay?"
0     , Keep    , 369       , Keep around            ,                                                                                    ,
0     , Keep    , 435       , Keep away from         ,                                                                                    ,
0     , Keep    , 1298      , Keep across            ,                                                                                    ,
0     , Keep    , 1000186   , Keep to oneself        ,                                                                                    ,
0     , Leave   , 266       , Leave out              ,                                                                                    ,
0     , Leave   , 362       , Leave off              ,                                                                                    ,
0     , Leave   , 748       , Leave behind           , оставить/забыть                                                                    , Don't leave your dog behind. Take it with you.
1     , Let     , 135       , Let in                 , впускать                                                                           , "Could you let me in the building                                                                                                                   , please? I forgot my key."
1     , Let     , 161       , Let in on              , посвящать (в секрет/план)                                                          , "Harry                                                                                                                                              , I'm gonna let you in on a little secret."
0     , Let     , 148       , Let on                 ,                                                                                    ,
0     , Let     , 166       , Let out                , выпускать;проболтаться                                                             , "I see Marcel let you out.;If I hear you let it out                                                                                                 , I'll kill you."
0     , Let     , 174       , Let up                 , прекратиться/стихнуть                                                              , After the storm let up we headed outside.
1     , Let     , 248       , Let down               , опускать;подвести                                                                  , I let down the curtain and went back to the fireside.;I let down my good friends.
0     , Let     , 262       , Let off                , отпустить/дать отделаться                                                          , I was let off with a suspended sentence.
0     , Let     , 656       , Let past               ,                                                                                    ,
0     , Lie     , 719       , Lie down               , прилечь                                                                            , I want to go and lie down.
0     , Lie     , 757       , Lie before             ,                                                                                    ,
0     , Lie     , 779       , Lie around             ,                                                                                    ,
0     , Lie     , 1828      , Lie low                ,                                                                                    ,
0     , Light   , 752       , Light up               , осветить или загореться                                                            , The sunrise lit up the Arizona desert.
0     , Live    , 373       , Live on                ,                                                                                    ,
0     , Live    , 391       , Live out               ,                                                                                    ,
0     , Live    , 399       , Live up                ,                                                                                    ,
0     , Live    , 473       , Live down              ,                                                                                    ,
0     , Live    , 487       , Live off               ,                                                                                    ,
0     , Live    , 555       , Live through           ,                                                                                    ,
0     , Live    , 1000052   , Liven up               , оживить/взбодрить                                                                  , Mat Zo can liven up any party.
0     , Luck    , 713       , Luck out               ,                                                                                    ,
0     , Make    , 115       , Make of                , извлечь/получить                                                                   , No matter where you go make the most of the trip.
0     , Make    , 123       , Make for               ,                                                                                    ,
1     , Make    , 158       , Make up                , придумывать;мириться;краситься                                                     , I made up that story.;We quarreled but then made up.;I need only five minutes to make up my face.
0     , Make    , 161       , Make up to             ,                                                                                    ,
0     , Make    , 175       , Make up for            , компенсировать/наверстать                                                          , Hurry up. We have to make up for lost time.
1     , Make    , 150       , Make out               , разобрать/понять;целоваться                                                        , The doctor's handwriting is not easy to make out.;I saw her making out with that guy from Queens.
0     , Make    , 159       , Make out of            ,                                                                                    ,
0     , Make    , 169       , Make it up to          ,                                                                                    ,
0     , Make    , 209       , Make way               ,                                                                                    ,
0     , Make    , 223       , Make over              ,                                                                                    ,
0     , Make    , 260       , Make into              , переделать в                                                                       , He made that coin into a pendant.
0     , Make    , 246       , Make off               ,                                                                                    ,
0     , Make    , 277       , Make off with          ,                                                                                    ,
0     , Make    , 285       , Make after             ,                                                                                    ,
0     , Make    , 306       , Make away with         ,                                                                                    ,
0     , Make    , 2513      , Make towards           ,                                                                                    ,
0     , Meet    , 431       , Meet up                ,                                                                                    ,
0     , Mess    , 948       , Mess with              , возиться/связываться и т.д.                                                        , Don't mess with kangaroos.
0     , Mess    , 956       , Mess about             ,                                                                                    ,
0     , Mess    , 969       , Mess up                , испортить/накосячить                                                               , Come on. Don't mess it up!
0     , Mess    , 1103      , Mess around            ,                                                                                    ,
0     , Miss    , 418       , Miss out               ,                                                                                    ,
0     , Move    , 391       , Move on                ,                                                                                    ,
1     , Move    , 409       , Move out               , съезжать/выходить                                                                  , When I moved out my parents were happy.
0     , Move    , 417       , Move up                ,                                                                                    ,
0     , Move    , 1534      , Move forward           ,                                                                                    ,
0     , Open    , 472       , Open up                ,                                                                                    ,
0     , Pass    , 961       , Pass to                ,                                                                                    ,
0     , Pass    , 984       , Pass on                ,                                                                                    ,
0     , Pass    , 984       , Pass on (a message)    ,                                                                                    ,
1     , Pass    , 1002      , Pass out               , терять сознание;раздавать/распределять                                             , I felt dizzy and then passed out in the middle of the street.;I was driving to the orphanage to pass out toys.
0     , Pass    , 1010      , Pass up                , не воспользоваться шансом                                                          , I passed up the invitation. Don't wanna see nobody.
0     , Pass    , 1075      , Pass over              ,                                                                                    ,
0     , Pass    , 1084      , Pass down              ,                                                                                    ,
0     , Pass    , 1089      , Pass by                , проходить мимо                                                                     , The people passing by did not seem to notice me.
0     , Pass    , 1098      , Pass off               , отложить/отсрочить                                                                 , I had to put off my dentist appointment because of a work meeting.
1     , Pass    , 1127      , Pass away              , умереть                                                                            , My granddad passed away in January.
0     , Pass    , 1166      , Pass through           ,                                                                                    ,
0     , Pass    , 2498      , Pass round             ,                                                                                    ,
0     , Pay     , 505       , Pay for                , отплатить за                                                                       , There is money enough to pay for any services.
0     , Pay     , 566       , Pay back               , вернуть деньги                                                                     , I expect you to pay it back as soon as you can.
0     , Pay     , 628       , Pay off                , откупиться/подкупить/расплатиться (с долгом)                                       , This week we have paid off our mortgage.
1     , Pick    , 562       , Pick up                , подобрать/подхватить;делать уборку                                                 , I was waiting for someone to pick me up.;They made me pick up my room.
0     , Pick    , 588       , Pick up on             ,                                                                                    ,
0     , Pick    , 741       , Pick up after          ,                                                                                    ,
0     , Pick    , 815       , Pick yourself up       , взять себя в руки                                                                  , "How do you pick yourself up after losing everything?"
0     , Pick    , 536       , Pick on                , дразнить/докучать                                                                  , At first Tina used to pick on me.
0     , Pick    , 554       , Pick out               , выбрать или выделить из                                                            , I'd pick out the black one.
0     , Pick    , 569       , Pick at                , ковырять;придираться                                                               , "Now                                                                                                                                                , the boys pick at the sandbags piled in its huge                                                , fire-blackened arches.;I pick at people."
0     , Pick    , 650       , Pick off               ,                                                                                    ,
0     , Pick    , 718       , Pick through           ,                                                                                    ,
0     , Pick    , 1484      , Pick apart             ,                                                                                    ,
0     , Plan    , 543       , Plan on                ,                                                                                    ,
0     , Play    , 454       , Play out               ,                                                                                    ,
0     , Play    , 462       , Play up                ,                                                                                    ,
0     , Play    , 469       , Play at                ,                                                                                    ,
0     , Play    , 536       , Play down              ,                                                                                    ,
0     , Play    , 550       , Play off               ,                                                                                    ,
0     , Play    , 596       , Play around            ,                                                                                    ,
0     , Play    , 956       , Play along             ,                                                                                    ,
1     , Point   , 420       , Point out              , указывать/подчеркивать/замечать                                                    , Jake pointed out northwest.
0     , Pull    , 741       , Pull in                , втягивать;парковаться;зарабатывать                                                 , Pull in your stomach.;Pull in here.;I only pull in 600$.
1     , Pull    , 772       , Pull out               , вытаскивать/извлекать                                                              , Everybody pull out your phones right now!
1     , Pull    , 754       , Pull on                , натягивать;надевать                                                                , "Why don't you give a pull on that rope?;Pull on pair of socks."
1     , Pull    , 780       , Pull up                , подтянуть/натянуть;подъезжать/останавлитьвася                                      , "Pull up your trousers                                                                                                                              , you're doing it wrong.;Yeah                                                                    , I just saw him pull up."
1     , Pull    , 868       , Pull off               , снимать/стаскивать;справиться/выполнить                                            , "You want me to pull off my trousers?;I think I pulled that off pretty damn well."
0     , Pull    , 845       , Pull over              , притормозить ненадолго                                                             , Let's pull over and ask for directions.
0     , Pull    , 897       , Pull away              ,                                                                                    ,
0     , Pull    , 1257      , Pull ahead             ,                                                                                    ,
0     , Pull    , 1702      , Pull apart             ,                                                                                    ,
0     , Put     , 188       , Put to                 ,                                                                                    ,
1     , Put     , 198       , Put in                 , вводить;вставлять;вкладывать                                                       , "You put in credit card.;So I'm going to put in a T-tube.;I put in 770 dollars to build this submarine."
1     , Put     , 211       , Put on                 , надевать/одевать;провести (мероприятие)                                            , I put this hat on to protect my brain from radiation.;They put on the carnival every year.
1     , Put     , 229       , Put out                , тушить/гасить (огонь);выпускать/издавать/выкладывать                               , "Is it all right if I put out the light?;It's a newspaper we put out                                                                                , not a bulletin for the mayor's office."
1     , Put     , 237       , Put up                 , выставлять/вкладывать;мириться/примиряться                                         , "I'm ready to put up a fight.;I must just put up with it."
0     , Put     , 268       , Put up with            , принимать/мириться                                                                 , Put up with your fate man. You're a loser.
0     , Put     , 263       , Put back               , положить обратно                                                                   , Put back that salt.
0     , Put     , 302       , Put over               ,                                                                                    ,
0     , Put     , 311       , Put down               , положить/опустить                                                                  , Lee put down his basket.
0     , Put     , 314       , Put down to            ,                                                                                    ,
0     , Put     , 328       , Put down for           ,                                                                                    ,
0     , Put     , 382       , Put down as            ,                                                                                    ,
0     , Put     , 316       , Put by                 ,                                                                                    ,
1     , Put     , 325       , Put off                , откладывать                                                                        , "Never put off until tomorrow what you can do today."
0     , Put     , 339       , Put (effort) into      ,                                                                                    ,
0     , Put     , 354       , Put away               , посадить в тюрьму                                                                  , I was put away for two-and-a-half years.
0     , Put     , 393       , Put through            , подвергнуть                                                                        , We put the rats through a number of tests.
0     , Put     , 405       , Put together           , собирать/соединять                                                                 , Putting together jigsaw puzzles makes you smarter.
0     , Put     , 719       , Put past               ,                                                                                    ,
0     , Put     , 1300      , Put across             ,                                                                                    ,
0     , Put     , 1354      , Put forward            ,                                                                                    ,
0     , Put     , 2206      , Put aside              , отложить                                                                           , Put some money aside for case you got robbed.
0     , Put     , 2592      , Put towards            ,                                                                                    ,
0     , Read    , 515       , Read in                ,                                                                                    ,
0     , Read    , 546       , Read out               , огласить/зачитать вслух                                                            , Then the judge read out the death sentence.
0     , Read    , 580       , Read up on             , изучить вопрос                                                                     , Read up on that island before going there.
0     , Read    , 642       , Read off               ,                                                                                    ,
0     , Ring    , 895       , Ring up                ,                                                                                    ,
0     , Run     , 367       , Run to                 ,                                                                                    ,
0     , Run     , 377       , Run in                 , забежать (к кому-то)                                                               , I'll run in tonight if you don't mind.
0     , Run     , 389       , Run for it             ,                                                                                    ,
0     , Run     , 390       , Run on                 ,                                                                                    ,
0     , Run     , 395       , Run with               ,                                                                                    ,
0     , Run     , 403       , Run about              ,                                                                                    ,
1     , Run     , 408       , Run out                , выбегать;сбегать;заканчиваться/иссякать                                            , "I'd already started to run out to the trains with a flag.;You didn't think I was going to run out on you?;On the halfway we ran out of gas."
0     , Run     , 416       , Run up                 , взбегать/разбегаться                                                               , Take a run up!
0     , Run     , 442       , Run up on              ,                                                                                    ,
0     , Run     , 899       , Run up against         , сталкиваться с                                                                     , Has anybody else run up against anything like this?
0     , Run     , 442       , Run back               ,                                                                                    ,
1     , Run     , 481       , Run over               , переехать (машиной)                                                                , He hurried too much and got run over by a truck.
0     , Run     , 490       , Run down               ,                                                                                    ,
0     , Run     , 495       , Run by                 , управлять                                                                          , Only seven years ago the canal was run by the United States.
1     , Run     , 504       , Run off                , убегать/сбегать                                                                    , "He ran off to meet someone else."
0     , Run     , 535       , Run off with           ,                                                                                    ,
1     , Run     , 518       , Run into               , случайно встретить/столкнуться с                                                   , Sam ran into a bear in his garden.
1     , Run     , 533       , Run away               , убегать                                                                            , I ran away from home and hiked all summer long.
0     , Run     , 564       , Run away with          ,                                                                                    ,
0     , Run     , 543       , Run after              , гнаться за                                                                         , The ostrich ran after me. It wanted to kill me.
0     , Run     , 550       , Run around             ,                                                                                    ,
0     , Run     , 572       , Run through            ,                                                                                    ,
0     , Run     , 729       , Run around after       ,                                                                                    ,
0     , Run     , 847       , Run against            ,                                                                                    ,
0     , Run     , 898       , Run past               ,                                                                                    ,
0     , Run     , 910       , Run along              ,                                                                                    ,
0     , Run     , 1479      , Run across             ,                                                                                    ,
0     , Run     , 1599      , Run low                ,                                                                                    ,
0     , Save    , 599       , Save up                , накопить                                                                           , I'm saving up for a trip to Madagascar.
0     , Send    , 691       , Send up                ,                                                                                    ,
0     , Send    , 700       , Send out for           ,                                                                                    ,
0     , Send    , 717       , Send back              ,                                                                                    ,
0     , Send    , 765       , Send down              ,                                                                                    ,
0     , Send    , 779       , Send off               ,                                                                                    ,
0     , Send    , 808       , Send away              ,                                                                                    ,
0     , Send    , 825       , Send away for          ,                                                                                    ,
0     , Set     , 462       , Set in                 ,                                                                                    ,
0     , Set     , 475       , Set on                 ,                                                                                    ,
0     , Set     , 488       , Set about              , приступить/начать                                                                  , We set about the research of the locality.
0     , Set     , 493       , Set out                , разъяснять                                                                         , Let me set out my conditions in advance.
1     , Set     , 501       , Set up                 , устновить                                                                          , And of course we must set up a monument.
0     , Set     , 527       , Set back               , стоить денег;отбросить                                                             , How much she set you back?;The recession did set back philanthropy in America.
1     , Set     , 575       , Set down               , положить/изложить                                                                  , Setting down things I want to remember.
1     , Set     , 589       , Set off                , отправляться(в путь)                                                               , We set off on our mountain trip early in the morning.
0     , Set     , 2166      , Set upon               ,                                                                                    ,
0     , Set     , 2470      , Set aside              ,                                                                                    ,
0     , Set     , 3951      , Set forth              ,                                                                                    ,
0     , Show    , 296       , Show in                ,                                                                                    ,
1     , Show    , 335       , Show up                , появиться/показаться                                                               , They don't expect me to show up at the party.
0     , Show    , 423       , Show off               , показать всем/похвастаться                                                         , Bob is showing off his dancing talents.
0     , Shut    , 483       , Shut in                ,                                                                                    ,
0     , Shut    , 514       , Shut out               , не впускать                                                                        , "They distrust                                                                                                                                      , and therefore shut out the police."
1     , Shut    , 522       , Shut up                , заткнуться/замолчать                                                               , Shut up. I don't wanna hear a word from you.
1     , Shut    , 596       , Shut down              , прекратить/остановить;закрыться/выключиться                                        , "Think we're gonna shut down the whole operation just for you?;You are shut down as of today."
0     , Sign    , 700       , Sign out               ,                                                                                    ,
0     , Sign    , 708       , Sign up                , записаться/зарегистрироваться                                                      , "Sign up                                                                                                                                            , take a chance!"
0     , Sign    , 796       , Sign off               ,                                                                                    ,
0     , Sit     , 445       , Sit on                 ,                                                                                    ,
0     , Sit     , 463       , Sit out                , высидеть                                                                           , Some lessons may be hard to sit out.
1     , Sit     , 471       , Sit up                 , выпрямиться/сесть прямо;приподняться;усесться                                      , "Sit up! Don't annoy me with holding the clothes fast.;Come on                                                                                      , let me get you to sit up.;Al sat up in bed and looked at Ernestine curiously."
1     , Sit     , 497       , Sit back               , откинуться на спинку сиденья                                                       , We can't just sit back and wait. We have to act.
1     , Sit     , 545       , Sit down               , садиться/присаживаться                                                             , May I sit down?
0     , Sit     , 627       , Sit through            ,                                                                                    ,
0     , Sleep   , 532       , Sleep with             ,                                                                                    ,
0     , Sleep   , 618       , Sleep over             , переночевать                                                                       , Can Hunter please sleep over?
0     , Sleep   , 709       , Sleep through          , проспать до конца                                                                  , The rest you can sleep through.
0     , Sort    , 604       , Sort out               , отсортировать                                                                      , It could help us sort 'em out.
0     , Sound   , 739       , Sound off              ,                                                                                    ,
0     , Speak   , 613       , Speak to               ,                                                                                    ,
0     , Speak   , 619       , Speak of               ,                                                                                    ,
0     , Speak   , 627       , Speak for              ,                                                                                    ,
0     , Speak   , 654       , Speak out              , высказать                                                                          , Anybody can speak out here.
0     , Speak   , 662       , Speak up               , говорить громче                                                                    , Speak up please. It's noisy around here.
0     , Speak   , 1000627   , Speak for oneself      ,                                                                                    ,
0     , Stand   , 492       , Stand for              , обозначать (в сокращении);выступать за                                             , OMG stands for Oh My God!;We stand for animal rights.
0     , Stand   , 505       , Stand in for           ,                                                                                    ,
1     , Stand   , 519       , Stand out              , выделяться/быть заметным                                                           , Don't be afraid to stand out in the crowd.
1     , Stand   , 527       , Stand up               , вставать/выпрямляться;отстаивать/защищать                                          , "So when it come down to it                                                                                                                         , he can stand up tall.;One must stand up for one's rights."
0     , Stand   , 530       , Stand up to            ,                                                                                    ,
0     , Stand   , 544       , Stand up for           ,                                                                                    ,
0     , Stand   , 553       , Stand back             ,                                                                                    ,
1     , Stand   , 606       , Stand by               , поддерживать/быть наготове                                                         , "Keep in mind                                                                                                                                       , my guys are standing by."
0     , Stand   , 615       , Stand off              ,                                                                                    ,
0     , Stand   , 2496      , Stand aside            ,                                                                                    ,
0     , Start   , 369       , Start up               , основать/установить                                                                , I started up my plastic wishbone business in 2012.
0     , Start   , 434       , Start over             , начать сначала                                                                     , Enough to start over.
0     , Start   , 457       , Start off              ,                                                                                    ,
0     , Start   , 1000317   , Start afresh           ,                                                                                    ,
0     , Stay    , 246       , Stay in                ,                                                                                    ,
0     , Stay    , 259       , Stay on                ,                                                                                    ,
0     , Stay    , 285       , Stay up                , не ложиться                                                                        , I stayed up all night reading that book.
0     , Step    , 791       , Step on it             ,                                                                                    ,
0     , Step    , 809       , Step up                ,                                                                                    ,
0     , Step    , 835       , Step back              ,                                                                                    ,
0     , Step    , 883       , Step down              , уйти в отставку                                                                    , I'm tired. I'm stepping down.
0     , Stick   , 855       , Stick to               , придерживаться/соблюдать                                                           , I've never managed to stick to my schedule.
0     , Stick   , 883       , Stick with             ,                                                                                    ,
1     , Stick   , 896       , Stick out              , торчать/выпирать;вытягивать/протягивать                                            , "And you've got a bottle sticking out of your pocket!;Stick out your hand."
0     , Stick   , 904       , Stick it out           ,                                                                                    ,
0     , Stick   , 904       , Stick up               ,                                                                                    ,
0     , Stick   , 911       , Stick at               , упорно продолжать                                                                  , This game isn't hard to master — if you stick at it.
0     , Stick   , 921       , Stick up for           ,                                                                                    ,
0     , Stick   , 978       , Stick down             ,                                                                                    ,
0     , Stick   , 1038      , Stick around           ,                                                                                    ,
0     , Stop    , 304       , Stop over              , заехать/остановиться                                                               , Let's stop over at that bridge to take a photo.
0     , Take    , 104       , Take to                ,                                                                                    ,
0     , Take    , 114       , Take in                , понять/вникнуть                                                                    , Too strange. I can't take it in.
0     , Take    , 118       , Take for               ,                                                                                    ,
1     , Take    , 127       , Take on                , брать/приобретать;соревноваться/столкнуться                                        , Definitely colleges take on too many students.;That day Chelsea took on Everton.
1     , Take    , 145       , Take out               , вынимать/доставать/выносить                                                        , Take out your handcuffs.
1     , Take    , 153       , Take up                , занять(место/время)/принять(форму);заняться(чем-либо);поднимать                    , "You've no right to take up a position like that.;Take up yoga or at least golf.;But he only laughed shortly and refused to take up the gauntlet."
0     , Take    , 184       , Take up with           ,                                                                                    ,
0     , Take    , 1001818   , Take upon oneself      ,                                                                                    ,
0     , Take    , 166       , Take it out in         ,                                                                                    ,
1     , Take    , 179       , Take back              , забрать                                                                            , I'm gonna take back that best friend stuff.
0     , Take    , 179       , Take it out on         ,                                                                                    ,
1     , Take    , 218       , Take over              , перенять(обязаности);захватить(власть)                                             , "Today I'm taking over as president of the US.;A bunch of out-of-control jackets take over an island!"
1     , Take    , 227       , Take down              , записывать;снимать (со стены);сносить/разрушать                                    , "I took down all that had happened that day.;Take down the clock                                                                                    , please.;And they can't start taking down the walls without protection."
1     , Take    , 241       , Take off               , снять;взлететь;уходить/отправляться                                                , "No                                                                                                                                                 , Jenny                                                                                          , don't take it off!;The plane is taking off , please take your seats.;Hey , I'm gonna take off."
1     , Take    , 270       , Take away              , забрать/отобрать                                                                   , The purse was taken away by three women.
0     , Take    , 280       , Take after             , быть в (родителей)                                                                 , "My daughter takes after me                                                                                                                         , doesn't she?"
0     , Take    , 309       , Take through           ,                                                                                    ,
0     , Take    , 584       , Take against           ,                                                                                    ,
0     , Take    , 1075      , Take apart             , разбирать                                                                          , We can take a bicycle apart in no time.
0     , Take    , 2122      , Take aside             ,                                                                                    ,
0     , Take    , 2708      , Take pity              ,                                                                                    ,
0     , Take    , 1000101   , Take aback             ,                                                                                    ,
0     , Take    , 1001826   , Take it upon oneself   ,                                                                                    ,
0     , Talk    , 202       , Talk out of            ,                                                                                    ,
1     , Talk    , 266       , Talk over              , обсудить/обговорить                                                                , "Alright                                                                                                                                            , let's talk it over right now."
0     , Talk    , 275       , Talk down              ,                                                                                    ,
0     , Talk    , 303       , Talk into              , уговорить                                                                          , Finally he talked me into coming with him.
0     , Talk    , 357       , Talk through           ,                                                                                    ,
0     , Tell    , 221       , Tell off               , ругать                                                                             , During the break the coach told me off severely.
0     , Think   , 102       , Think about/of         ,                                                                                    ,
0     , Think   , 106       , Think up               , Изобретать/развивать или выдумывать что-то из своих мыслей                         , It took us a little time to think up a diagnostic test no one's ever thought up before.
0     , Think   , 132       , Think back             ,                                                                                    ,
0     , Think   , 171       , Think over             , обдумать                                                                           , Some strange shit! I need to think it over.
0     , Think   , 262       , Think through          , продумывать                                                                        , Think this through clearly.
0     , Think   , 583       , Think ahead            ,                                                                                    ,
0     , Throw   , 697       , Throw in               ,                                                                                    ,
0     , Throw   , 710       , Throw on               , набросить на;надеть                                                                , She jumped up at once and threw on a black shawl.;Throw on your masks!
0     , Throw   , 728       , Throw out              ,                                                                                    ,
1     , Throw   , 736       , Throw up               , рвать;подбросить/извергать                                                         , "I always throw up after drinking alcohol.;The more I go through life                                                                               , the more questions it throws up and fewer answers."
0     , Throw   , 810       , Throw down             ,                                                                                    ,
0     , Throw   , 824       , Throw off              ,                                                                                    ,
1     , Throw   , 853       , Throw away             , выбрасывать/избавляться                                                            , "Don't throw away those clothes                                                                                                                     , you can donate them to charity."
0     , Touch   , 801       , Touch down             , приземлиться                                                                       , Heard a helicopter touched down on the roof.
0     , Try     , 259       , Try for                ,                                                                                    ,
0     , Try     , 268       , Try on                 , примерить                                                                          , I tried them on. They were a bit too big.
0     , Try     , 276       , Try it on              ,                                                                                    ,
0     , Try     , 286       , Try out                , испытать                                                                           , Today I'm trying out my new skateboard.
0     , Try     , 320       , Try back               ,                                                                                    ,
0     , Turn    , 392       , Turn to                ,                                                                                    ,
0     , Turn    , 402       , Turn in                ,                                                                                    ,
1     , Turn    , 415       , Turn on                , включить;заводить/возбуждать                                                       , If you smell gas don't turn on or off any switches.;And I love his voice. his voice turns me on.
1     , Turn    , 529       , Turn off               , выключить;свернуть                                                                 , "Arlene                                                                                                                                             , would you mind turning down the music?;I turned off the main road and proceeded on foot."
1     , Turn    , 441       , Turn up                , добавлять/увеличивать;внезапно появиться                                           , "It's my favorite song                                                                                                                              , I'm gonna turn it up!;He promised to come but hasn’t turned up yet."
1     , Turn    , 515       , Turn down              , убавлять/уменьшать;отказаться/отклонить                                            , "Would you mind turning down the music?;Oliver decisively turned down my help."
1     , Turn    , 433       , Turn out               , оказаться                                                                          , The insects turned out better than I expected.
1     , Turn    , 543       , Turn into              , превращаться                                                                       , It's time to turn into a wolf.
1     , Turn    , 506       , Turn over              , переворачивать                                                                     , Turn the steak over after 3 minutes or so.
1     , Turn    , 467       , Turn back              , повернуться обратно                                                                , "When I turn back                                                                                                                                   , you should be there looking at me."
1     , Turn    , 575       , Turn around            , оборачиваться                                                                      , The woman did not even turn around.
0     , Turn    , 872       , Turn against           ,                                                                                    ,
0     , Turn    , 1929      , Turn round             ,                                                                                    ,
0     , Turn    , 4457      , Turn upside down       ,                                                                                    ,
0     , Turn    , 8295      , Turn turtle            ,                                                                                    ,
0     , Turn    , 999999999 , Turn away              , отворачиваться                                                                     ,
0     , Used    , 346       , Used to                ,                                                                                    ,
0     , Used    , 395       , Used up                , израсходовать                                                                      , He uses them up and he gets a newer model.
0     , Wait    , 170       , Wait for               ,                                                                                    ,
0     , Wait    , 205       , Wait up                ,                                                                                    ,
0     , Wait    , 1870      , Wait upon              ,                                                                                    ,
0     , Wake    , 878       , Wake up                , просыпаться                                                                        , "It seems to me that every time I wake up                                                                                                           , I see you."
0     , Walk    , 496       , Walk in on             ,                                                                                    ,
1     , Walk    , 501       , Walk out               , выходить/гулять                                                                    , We don't walk out on each other.
0     , Walk    , 605       , Walk it off            ,                                                                                    ,
0     , Walk    , 611       , Walk into              ,                                                                                    ,
0     , Walk    , 626       , Walk away              , уходить (прочь)                                                                    , Could you walk away?
0     , Walk    , 709       , Walk away from         ,                                                                                    ,
0     , Walk    , 999999999 , Walk around            , ходить/бродить повсюду                                                             ,
0     , Walk    , 999999999 , Walk back              , возвращаться/идти назад/обратно                                                    ,
0     , Walk    , 999999999 , Walk in                , входить                                                                            ,
0     , Walk    , 999999999 , Walk off               , уходить                                                                            ,
0     , Walk    , 999999999 , Walk over              , подойти/подходить                                                                  ,
0     , Walk    , 999999999 , Walk up                , подойти/подходить                                                                  ,
1     , Watch   , 472       , Watch out              , остерегаться/быть начеку                                                           , "Watch out                                                                                                                                          , babe."
0     , Watch   , 545       , Watch over             ,                                                                                    ,
0     , Wear    , 863       , Wear in                ,                                                                                    ,
0     , Work    , 201       , Work on                ,                                                                                    ,
1     , Work    , 219       , Work out               , получаться/сработать;тренироваться                                                 , Yes! My plan worked out!;I adore working out on the seashore.
1     , Work    , 227       , Work up                , доработать                                                                         , Work up own guard system.
0     , Work    , 292       , Work over              ,                                                                                    ,
0     , Work    , 383       , Work through           ,                                                                                    ,
0     , Work    , 1000315   , Work off               ,                                                                                    ,
0     , Write   , 872       , Write in               ,                                                                                    ,
0     , Write   , 903       , Write out              , выписать (документ)                                                                , He wrote out a speeding ticket and let me go.
0     , Write   , 999       , Write off              ,                                                                                    ,
0     , Write   , 999999999 , Write down             , записывать/излагать письменно                                                      ,
0     , Account , 1797      , Account to             ,                                                                                    ,
0     , Account , 1811      , Account for            , объяснить (произошедшее)                                                           , How can you account for the contents of your pockets?
0     , Admire  , 3239      , Admire to              ,                                                                                    ,
0     , Adopt   , 5563      , Adopt out              ,                                                                                    ,
0     , Age     , 1179      , Age out                ,                                                                                    ,
0     , Aim     , 5290      , Aim at                 ,                                                                                    ,
0     , Aim     , 5293      , Aim at/to              ,                                                                                    ,
0     , Allow   , 1541      , Allow for              , выделять/рассчитывать                                                              , I always allow time for sleep.
1     , Attend  , 3889      , Attend to              , следить/заботиться;обслужитьвать                                                   , "Will you attend to the matter?;Have you attended to the customers?"
1     , Attend  , 3889      , Attend on              , ухаживать (за кемлибо)                                                             , "He attends on his sick father."
0     , Bail    , 2346      , Bail out               ,                                                                                    ,
0     , Bake    , 5990      , Bake off               ,                                                                                    ,
0     , Ball    , 1069      , Ball out               ,                                                                                    ,
0     , Ball    , 1077      , Ball up                ,                                                                                    ,
0     , Balls   , 2585      , Balls up               ,                                                                                    ,
0     , Bear    , 1699      , Bear on                ,                                                                                    ,
0     , Bear    , 1704      , Bear with              ,                                                                                    ,
1     , Bear    , 1717      , Bear out               , подтверждать/поддерживать                                                          , "This report bears out his theory."
0     , Bear    , 3390      , Bear upon              ,                                                                                    ,
0     , Block   , 2117      , Block out              , блокировать/не пускать                                                             , Use fences to block out the zombies.
